[00:00:02.540] 女：最高的两个。
[00:00:19.720] 女：我好像我上大学。
[00:00:22.260] 女：我是高中生。
[00:00:26.220] 男：那它是属于下线之一，但是上限很。
[00:00:30.260] 女：继续我。
[00:00:31.580] 男：然后然后师哥我觉得。
[00:00:34.660] 女：大概率很高了。
[00:00:38.840] 女：你要解读，你要写你要写出一首像样的诗歌。
[00:00:41.888] 男：我觉得我我现在写的是个人。
[00:00:44.160] 男：嗯，不忍耐，他有。
[00:00:46.660] 女：但是呢。
[00:00:47.660] 女：嫂子在线很高。
[00:00:50.080] 女：那我就讲过呀，小孩子都能做不好。
[00:00:55.520] 女：他对一个人他有时候很用力。
[00:00:58.540] 女：足以支撑一首诗的完成。
[00:01:02.560] 女：或者一个好的领域就已经。
[00:01:05.720] 女：他大便是很。
[00:01:07.720] 女：为什么？
[00:01:14.040] 女：这么多。
[00:01:15.060] 女：没有时间。
[00:01:16.540] 女：因为。
[00:01:20.120] 女：而且你你看大部分的大学生，高老师说的也比。
[00:01:30.660] 女：因为有的时候跟他提到了。
[00:01:33.620] 女：我在某种。
[00:01:41.520] 女：它的亮度。
[00:01:50.220] 女：他的综合考量。
[00:01:51.711] 女：当。
[00:01:52.120] 女：那就是如果说的话是。
[00:01:56.860] 女：如果按按照我来说我来说的话，我第一个开始写的是。
[00:02:01.520] 女：散文，然后到小说，然后才到。
[00:02:05.620] 男：我第一个去来来了来了。
[00:02:07.248] 女：去门口接他，我看到我看到你了，我看到你了。
[00:02:10.320] 女：你停在那里不要动。
[00:03:14.220] 女：这是我下班时间给我。
[00:03:17.060] 女：啊，我现在担心就业问题。
[00:03:20.340] 女：孟老师，你是打算考研吗？
[00:03:22.367] 女：还是直接工作？
[00:03:23.583] 女：你考研考级吧。
[00:03:24.940] 女：好鸡巴眼。
[00:03:26.905] 女：好鸡跟。
[00:03:28.600] 女：所以呢不好啊不好。
[00:03:32.360] 女：我有点想考，但我不知道考什么专业。
[00:03:39.580] 女：这个。
[00:03:41.060] 女：是有的，我之前是想考创意写作，但他们说创意写作。
[00:03:45.660] 女：难就业。
[00:03:48.100] 女：这些组织一般都是当学生或者是创作者的。
[00:03:51.720] 女：对啊，所以就不知道。
[00:03:53.594] 女：我感觉你比较。
[00:03:56.080] 女：不晓得。
[00:03:57.140] 女：知道吗？
[00:04:10.380] 女：我靠，这么多钱。
[00:04:15.100] 女：拍照，你别的我不拍照。
[00:04:21.640] 男：他去拿吃的吧。
[00:04:24.180] 女：这车的肚子有点痛，骑车太长。
[00:04:27.080] 女：没有工作我都没事。
[00:04:28.900] 女：我们组的。
[00:04:30.360] 女：因为我吃的很杂，回头吃了。
[00:04:38.520] 女：嗯，昨天。
[00:04:40.780] 女：好像还是他太短了，都有点。
[00:04:43.480] 女：我昨天跟我朋友他们去吃海底捞，然后然后回来。
[00:05:06.660] 女：然后可能回来就拉肚子。
[00:05:25.200] 男：可以。
[00:05:31.420] 男：对，就是你就是你不会再加新的。
[00:05:39.060] 男：然后就在那里。
[00:05:48.820] 男：元的票有。
[00:05:51.540] 男：他的熟食做的。
[00:05:56.640] 男：中间比较长，就有那个。
[00:05:59.100] 女：回家。
[00:06:01.100] 男：但是肉吧。
[00:06:05.820] 女：忙着修一下，忙着睡觉，等一下再。
[00:06:13.420] 女：那他怎么你这个叫烧鹅？
[00:06:16.120] 女：上了高压高压。
[00:06:18.460] 女：柳烧鸭，我刚刚现在喝醉了让我吃不下了。
[00:06:21.420] 女：回家吧。
[00:06:32.140] 女：我还以为我听错了，他说他说他要你头发只剪短了重量了吗？
[00:06:40.440] 女：不可能没有没有没有吧有。
[00:06:43.700] 女：有点吧。
[00:06:45.320] 女：找吧。
[00:06:48.420] 女：他之前染过其他颜色那个。
[00:06:51.300] 女：渲染过哦。
[00:06:52.860] 女：绿的。
[00:06:56.760] 女：老师。
[00:06:59.000] 女：就是如果。
[00:07:00.680] 女：6页的话，你推荐我去拿走。
[00:07:05.560] 女：我已经开始思考这个问题了。
[00:07:07.660] 女：那。
[00:07:13.900] 女：尽量拿到高中。
[00:07:17.740] 女：我我连动漫我都没看过。
[00:07:20.780] 女：游戏我也不玩。
[00:07:22.320] 女：我唯一玩的游戏你知道是什。
[00:07:25.580] 女：怎么样逃亡？
[00:07:31.820] 女：他一个人。
[00:07:32.700] 女：你你往上。
[00:07:35.880] 女：刚毕业。
[00:07:38.760] 女：刚刚来不太。
[00:07:42.560] 女：有一道数学题。
[00:07:43.672] 女：很多理工科。
[00:07:45.200] 女：为什么你们都对了？
[00:07:46.463] 女：因为我用一个一个数字套。
[00:07:49.520] 女：这是找规律的题啊，就是重新下一个。
[00:07:53.860] 女：然后你一个一个。
[00:07:58.500] 女：因为也不是。
[00:08:02.780] 女：策划类的。
[00:08:05.440] 女：你这话什么？
[00:08:11.380] 女：等我一关。
[00:08:13.540] 女：所以我知道就用在那个水。
[00:08:18.580] 女：是地理。
[00:08:21.560] 女：太可。
[00:08:22.420] 女：然后面试的时候，他叫了我去。
[00:08:26.540] 女：然后呢。
[00:08:29.600] 女：要。
[00:08:34.880] 女：我还没有过。
[00:08:39.360] 女：不小心。
[00:08:44.260] 女：我是你号。
[00:08:45.480] 女：嗯。
[00:08:49.620] 女：然后他就跟我相谈甚欢。
[00:08:52.280] 女：最后没有让你。
[00:08:56.400] 女：然后跟我说了一句话，我说。
[00:08:58.680] 女：没有，晚上都有地板。
[00:09:03.060] 女：作为一个领域的开发者。
[00:09:11.580] 女：这为什么来的？
[00:09:13.050] 女：好像。
[00:09:14.500] 女：后面还试了别的。
[00:09:22.440] 女：然后我我当时在上海。
[00:09:28.320] 女：然后回到老家。
[00:09:34.920] 女：一周上六天班，什么工资都没。
[00:09:39.460] 女：做方言。
[00:09:42.440] 女：方圆传播与保利。
[00:09:45.280] 女：这种新媒体很难找到散粉的。
[00:09:47.971] 女：因为。
[00:09:48.560] 女：其实大家不关心。
[00:09:52.620] 女：我不听。
[00:09:56.380] 女：是我们当地的一个主题。
[00:10:01.620] 女：然后要找找他讲正确的话。
[00:10:04.480] 女：我那个。
[00:10:09.440] 女：我没招了，你要是。
[00:10:13.180] 女：我懂这个东西，没有人想要我没有人想要去听。
[00:10:16.606] 女：就是那个语言就是拿来日常使用的，我弄错了，他也你也能听得到。
[00:10:21.475] 女：我的想法是用多了它就是对的了。
[00:10:24.140] 女：语言学我们都学过吗？
[00:10:27.080] 女：就是有的很多可能以为在断电和流变，就是因为它不断的被利用了才。
[00:10:33.940] 女：假的也变成真的了。
[00:10:36.060] 女：那个那个那个主持人他的那种理念就是我要讲正确的。
[00:10:40.980] 女：如果你。
[00:10:44.880] 女：晚晚上后的几天你都听不见。
[00:10:49.300] 女：为什么你这个东西。
[00:10:53.260] 女：刘达吗？
[00:10:58.900] 女：我要去街头采访路人，能不能用潮汕话读绕口令？
[00:11:03.960] 女：没有讲。
[00:11:07.520] 女：那为什么又要做这个公司啊？
[00:11:11.620] 女：他有点半。
[00:11:14.800] 女：但我还是做梦。
[00:11:16.860] 女：效益。
[00:11:20.440] 女：有多么的。
[00:11:26.360] 女：而且你看地方小明星吧。
[00:11:35.900] 女：然后刚才跟许光也发了。
[00:11:42.180] 女：你给我吧。
[00:11:43.360] 女：嗯，然后是一个大。
[00:11:46.220] 女：然后他就跟他们。
[00:11:51.540] 女：这个合同都是我，我女。
[00:11:53.940] 女：有一个刚刚毕业的大研究生。
[00:11:57.820] 女：第一次写的这个合同价是24万20。
[00:12:06.300] 女：然后拿这个东西跟免谈。
[00:12:14.720] 女：但是呢我们大学当中。
[00:12:16.800] 女：你说你这边是外地。
[00:12:20.800] 女：其实有助于。
[00:12:23.020] 女：回宿舍你先做。
[00:12:25.860] 女：家都有手套，你没手套是不是？
[00:12:28.780] 女：跟外部对接的时候。
[00:12:32.900] 女：我以前独特特别的东。
[00:12:35.900] 女：什么东西这是最有用的，什么东西是最有用的？
[00:12:39.252] 女：比如说你现在跟花地啊进行对接啊。
[00:12:42.040] 女：所以我需要了这个位置。
[00:12:43.767] 女：这些高端技能其实都是有问。
[00:12:46.120] 女：所以他要了两次那个摆摊的对接，然后然后两次都让他怎么回呀？
[00:12:54.460] 女：啊，那那他干的觉得挺好的。
[00:12:58.780] 男：我感觉文理科的那个就业真的差。
[00:13:01.700] 女：对，所以我现在我都不知道我毕业之后要干嘛。
[00:13:04.970] 男：我我之前说大我一届。
[00:13:06.520] 女：他我有跟我有跟我姐说过，我说我想考研，但我不知道考哪个方向了。
[00:13:12.220] 男：喜欢哪个？
