[00:00:00.800] 男：那我不说了，你说。
[00:00:04.080] 男：我看呀。
[00:00:23.000] 女：麦克风。
[00:00:26.760] 女：我说他清爽，有没有懂的？
[00:00:29.223] 女：嗯，我说他清爽了，有没有懂的？
[00:00:34.700] 男：很诡异啊，朋友。
[00:00:39.840] 女：我操，好好看，没钱了，操你妈。
[00:00:44.580] 女：我怕我贵。
[00:00:48.620] 男：不想表达。
[00:00:49.751] 男：不想发。
[00:00:50.740] 女：完蛋了，不是给我解释吗？
[00:00:53.680] 男：我的解析会很多。
[00:00:55.340] 女：我就是个毒的。
[00:00:57.880] 男：那录音你不要给人，不要给别人听。
[00:01:00.930] 女：尤其是段艺璇，我为什么给他听啊？
[00:01:03.981] 女：那我就说了，我录了，我给他录的音也没。
[00:01:07.467] 男：给人听啊。
[00:01:08.338] 女：我先说了。
[00:01:09.210] 男：你说啊很多。
[00:01:10.760] 女：你是没看过我说吧，哦，那就行。
[00:01:14.600] 男：其实我觉得你有没有觉得在这封信中他充当一个角色，他的角色就是楚楚可怜，觉得自己是莫名其妙被你抛弃的那种角色。
[00:01:27.555] 男：然后他又有点。
[00:01:29.220] 男：我就怎么说呢？
[00:01:31.080] 男：我通过这个这封信。
[00:01:35.020] 女：听说了，你有没有？
[00:01:38.420] 男：就是。
[00:01:40.200] 女：那天我们。
[00:01:42.080] 男：高中的时候学过的一篇文言文。
[00:01:44.460] 男：那那两只狼。
[00:01:45.637] 女：他不会回来吧。
[00:01:47.051] 男：不知道那两只狼什么鬼，假寐那个就假装像那个是不是很像。
[00:01:54.240] 女：为什么是那个。
[00:01:56.680] 女：就是我我我其实忘记那一题是啥了，我就记得是有一个图，有有两只狼。
[00:02:03.126] 男：都想吃肉狼，我都想吃那个屠夫。
[00:02:06.016] 男：然后一只狼的话就假装自己在睡觉，然后引诱人家过来，引诱人家过来之后，他就然后另外一只狼就去已经到他背后了哦，对，然后在这里的话他是同时饰演这两只狼的角色啊，确实对，他是一边哦说啊我呃呃说我是最没有资格说这种话的。
[00:02:27.801] 男：其实你丢掉这封信也没有关系，但是他一边又在类似于道德绑架。
[00:02:33.803] 男：你说我应该相信莫老师，我应该相信你两个。
[00:02:37.804] 男：相信就是把你架在那里，让你去思考你们两个之间的关系，让你去解决他的困惑。
[00:02:45.140] 男：对啊，而不是他来解决你们之间的事情，是你去设身处地去理解他，然后去给你们的关系重新定义。
[00:02:54.032] 男：嗯。
[00:02:54.254] 女：他就是把这个选择权交给。
[00:02:56.700] 女：我他他是那个已经把所有的过程，所有的动作都做完的人。
[00:03:01.130] 男：然后他希望的是希望你去原谅他，希望你去理解他做的这这件事情。
[00:03:06.740] 女：嗯。
[00:03:09.960] 男：我就看到了田得到。
[00:03:12.540] 女：相信我什么呢？
[00:03:13.735] 女：就相信我会为了我们之间的关系而做出一个积极的努力反馈。
[00:03:18.913] 男：而是道德绑架。
[00:03:20.108] 男：现在现在这个。
[00:03:21.303] 女：只是我们所谓的一个低谷期，然后他相信我们就会更好的这个更好的。
[00:03:27.260] 女：怎么做到呢？
[00:03:28.314] 女：就是由我去做，我相信我会做好的。
[00:03:31.266] 女：他已经做好准备了，但是那个。
[00:03:33.797] 男：已经其实更多的是他觉得你们就是会这样，就是会往更好的方向去走。
[00:03:39.912] 男：但是然后就是会往更好的方向去走的前提就是你就是他相信你，他他在无形中给给了你那样子的一个压力，他觉得你应该这么做。
[00:03:53.580] 男：这个好多，我继续看。
[00:04:00.500] 女：哇，你那个同时两只狼太毒了，好喜欢。
[00:04:04.760] 女：我我真的。
[00:04:05.697] 男：我骂人很毒的，我只是平常不怎么骂而已。
[00:04:28.780] 男：他第三段通篇都在说他想清楚了，他知道自己想要的是什么，他也明白这样带来的后果和可能的结局，他也说他愿意承担。
