[00:00:00.000] 女：落在宿舍了。
[00:00:01.166] 男：Ok我这边打开了。
[00:00:03.160] 女：那我还是我，我边走边回去拿拿。
[00:00:06.656] 男：他的包吧。
[00:00:07.732] 男：Ok ok你说吧，我现在有电脑了。
[00:00:11.680] 女：感觉我瘦下来会比较。
[00:00:14.620] 男：好找嗯。
[00:00:16.640] 女：他他他他的那种理想啊，抱负啊那种，对。
[00:00:21.380] 女：对，故宫的那种。
[00:00:24.640] 女：那种。
[00:00:26.380] 女：那那种无力啊，反正到最后都会。
[00:00:30.480] 女：就是被现实磨灭吧。
[00:00:32.226] 女：然后这种磨灭甚至不一定是他为了他的理想付出过程中遭到打击。
[00:00:38.480] 女：可是。
[00:00:39.760] 女：而是在他过自己的生活的时候，他他已经无暇去管这些东西了。
[00:00:47.160] 男：对的对的。
[00:00:51.680] 女：他最多只能当做一个当下的一个状态。
[00:00:56.300] 男：这是对的。
[00:00:57.415] 女：至少本质上和他还是无关的。
[00:01:04.200] 女：对吧？
[00:01:05.940] 女：对这种实际和自己真的无关的东西。
[00:01:09.800] 女：然后你也没有参与过在其中的东。
[00:01:13.140] 女：所以说时间流逝也是很容易忘掉的。
[00:01:16.660] 女：那个忘是指一种就是在那个切身感受上面的忘。
[00:01:20.741] 女：他可能还记得这个事情，但是很可能都忘记当时是怎么说，怎么想的了。
[00:01:26.800] 女：我昨天回看自己前几天给他看和他那些东西，嗯，然后回看当时在那种极端痛苦的情况下，嗯，我我作为一个亲历者去写的。
[00:01:37.880] 女：写的记录我都已经我都已经忘记了嗯。
[00:01:42.480] 女：我操，当时当时这么绝望，这么痛苦吗？
[00:01:45.272] 女：我能写出那么真挚的东西。
[00:01:48.160] 男：抱抱，然后然后。
[00:01:49.373] 女：当时我居然还在那信誓旦旦的去说一些什么，我会怎么去做，让他们怎么怎么样。
[00:01:56.048] 女：那你看现在。
[00:01:57.880] 女：嗯，两年。
[00:02:00.620] 男：抱抱了那。
[00:02:02.740] 女：我我我都我都这样了啊，我我两年就就就就我自己都忘得差不多了，你更别说。
[00:02:13.620] 女：第三者。
[00:02:16.120] 男：人还得要生活呀。
[00:02:19.580] 女：这种事情听听得了，感动一下自己得了。
[00:02:23.000] 女：突然说的很残忍。
[00:02:25.280] 男：好像。
[00:02:29.880] 女：他能够做什么吗？
[00:02:31.122] 女：他其实也知道自己做。
[00:02:33.040] 女：对，然后他也你也他在那个文章里面说他不是什么鬼的。
[00:02:37.204] 男：嗯，他发了文章给我看，一愣一愣的。
[00:02:41.760] 男：大清早的起来看一眼，我没看懂啥意思。
[00:02:46.820] 女：小嗯嗯。
[00:02:48.640] 男：我感觉哦啊哥们你咋了？
[00:02:57.240] 女：我我本来想调侃小处男，那我想想了想，哎，不对，他好像不是小处男。
[00:03:03.740] 男：你这家伙。
[00:03:05.160] 女：抱歉。
[00:03:09.900] 女：我我已经能够我我已经就是非能够非常那个啥。
[00:03:14.823] 男：的抽离出来。
[00:03:16.053] 男：嗯。
[00:03:16.300] 女：那然后我也很命很很命的一个好自嘲的语气去看待这件事情。
[00:03:23.440] 男：那你很厉害呀啊。
[00:03:25.800] 女：然后然然后当当时如果两个人相处的时候，我又是能够非常真挚，非常诚恳的。
[00:03:31.580] 女：必须倾听和面对。
[00:03:33.113] 女：还嗯我他妈当时心里自己是得了。
[00:03:38.720] 女：那个盆。
[00:03:45.400] 女：我跟你说，就现在这个趋势啊，迟早也得，哪怕真的发生关系了，迟早也得断。
[00:03:54.080] 女：因为因为因为他对于我怎么处理自己的情绪，会有某种。
[00:03:58.880] 女：期待就是他看到我难受，他会他会很痛苦。
[00:04:04.840] 男：等一下。
[00:04:06.620] 男：他看到你难受，他会感到痛苦。
[00:04:11.320] 女：很明显啊。
[00:04:18.080] 男：为啥？
[00:04:21.460] 女：我我抽烟，他闻到我我身上有烟味儿，他就特别难，他就很明显就特别难受。
[00:04:30.800] 男：那你抽烟咋了？
[00:04:34.780] 女：他他他他觉得不能抽烟，可以喝酒，但是不能抽那我。
[00:04:39.274] 男：那我还说你看他喝酒。
[00:04:41.201] 女：那我你看我昨天昨天走了，他会那么紧张。
[00:04:45.200] 男：对，他他这个确实有点儿。
[00:04:49.220] 男：那啥了。
[00:04:51.740] 女：然后他就边哭着，后来边哭给我道歉。
[00:04:54.816] 女：他说明明你说休闲读书，我还是跟着你，就说意识到自己不够信任我。
[00:05:01.820] 男：嗯，这话不好说。
[00:05:04.140] 男：他这不是信任不信任的问题。
[00:05:08.100] 女：哎，怎么说呢？
[00:05:09.381] 女：确实是时间不对，就是我们。
[00:05:12.340] 女：我我们经历就是在一起的时间，还有说讲出来这些的时机什么的，不对。
[00:05:20.220] 男：那还好吧，这个时间会。
[00:05:22.314] 女：导致很多东西你没有办法一个很自然的感觉就扑上来了。
[00:05:28.040] 男：他都向你表白了，你再不说不就。
[00:05:35.620] 男：对吧？
[00:05:37.340] 女：如果如果如果如果不是那天我看了那个那个电那个电影。
[00:05:41.880] 女：我看来一切都是我的问题，是因为我懒得看了那部电影。
[00:05:45.760] 男：那那那他完全可以不去，我就这样说。
[00:05:54.060] 女：然后然后然后如果他哪天真的和我和我那个啥就忍不住了，跟我说，我就我就开始玩弄他说哦这样那那你喜欢我哪里呢？
[00:06:04.314] 女：然后然后我就跟他说不行哦，然后我然后我就非常非常期待，然后非常得意的听他听他给我列一堆，然后怎么怎么样。
[00:06:14.158] 女：然后我就说不行哦，我我反正我我这边怎么怎么样不可以。
[00:06:19.860] 女：然后然后就说让他知难而退一点。
[00:06:24.200] 男：这是比较理想的方法是吗？
[00:06:28.500] 女：嗯。
[00:06:30.680] 女：这样子我至少还还比较主导权吧。
[00:06:34.460] 男：等一下。
[00:06:37.140] 女：还有两点，晚上一点的时候关的。
[00:06:40.300] 男：好。
[00:06:44.720] 男：宝宝呢？
[00:06:47.500] 男：哎，关一下。
[00:06:48.860] 女：摄像头，这有点耗电。
[00:06:51.580] 男：Ok ok ok. 
[00:06:55.080] 女：母女之间能够聊这些东西，也不过就是因为时机比较，对吧？
[00:07:01.980] 女：认识的时期什么的。
[00:07:04.500] 男：确实。
[00:07:06.460] 女：他他他对事情的态度和处理方法就是。
[00:07:11.100] 女：就是确实都还蛮成熟的，哪怕是昨天晚上嗯。
[00:07:17.420] 女：呃。
[00:07:19.060] 女：但是但是他怎么说，它它不适用于。
[00:07:22.600] 女：我那么。
[00:07:24.220] 女：完全的契合。
[00:07:26.186] 女：我就就嗯。
[00:07:29.300] 男：加油。
[00:07:29.805] 男：加油。
[00:07:30.310] 男：加油。
[00:07:30.815] 男：加油。
[00:07:32.820] 女：蚊子。
[00:07:35.380] 男：咱俩。
[00:07:38.960] 男：嗯。
[00:07:42.060] 女：对，到底为什么感觉一个人对对对对自己很重要，然后就会像一直在一起啊。
[00:07:51.020] 女：那一直在一起的心情能理解吧，但是如果考就真的考虑到那个结婚什么的，我感觉实在是太幼稚了。
[00:07:59.300] 男：其实就是你是如何从我和你叔在一起过得比较高兴，过渡到我要和你结婚的。
[00:08:08.780] 女：多看点女神主义的书籍吧。
[00:08:11.631] 男：谢谢，对吧？
[00:08:12.668] 男：这是一个很大的跨越呀。
[00:08:16.620] 女：你看，我想和女子在一起，这个我完全可以理解。
[00:08:20.800] 男：我觉得不是迫于家庭压力的，应该没几个想结婚的。
[00:08:26.580] 女：你说我我想和你谈恋爱，我觉得也可以理解。
[00:08:29.726] 女：对呀，那你他妈考虑到未来，我想让你变得更好，和你一起过日子，这我他妈觉得。
[00:08:37.820] 男：搞错了。
[00:08:39.520] 女：我的预期真的真的没有到。
[00:08:42.911] 男：这一步啊，这太远了，都没毕业呢。
[00:08:47.140] 女：你知道吗？
[00:08:48.183] 女：他他说好想买车是因为什么？
[00:08:51.315] 女：为啥呀？
[00:08:52.098] 女：啥呃？
[00:08:52.860] 女：但他说你总不能你的你的。
[00:08:57.500] 女：他说。
[00:08:58.060] 女：他说。
[00:08:58.620] 女：买房买买车会贷，买房。
[00:09:01.280] 女：所以你总不可能你让你的另一半就跟着你去那种小店。
[00:09:05.560] 男：我就跑吧，我就说一句话，你妈的你不要把你想做的事情解释成你的另一半想做的事情。
[00:09:14.000] 女：就是那种密码。
[00:09:15.224] 男：就是你能。
[00:09:16.040] 女：感觉到你能你能感觉到他他就是他受那个家庭里面那种很传统的观念的影响吧。
[00:09:22.976] 女：嗯就是就是男生要付出更多去照顾另外一半这样子的。
[00:09:27.668] 男：你他妈你就说你想不想开车吧。
[00:09:33.000] 男：你他妈你扯了100万，你就说开车多爽呀，呜呜呜的这不就好了吗？
[00:09:42.020] 女：搞什么东西这么大吗？
[00:09:45.960] 男：我烦这样的人，你知道吧？
[00:09:48.348] 男：不是我烦这种行为。
[00:09:53.000] 男：我应该有啊。
[00:09:55.300] 男：就就是那那那个那个车，你就说你就算说那开车以后上班方便，那开车可能咱去哪玩，随便玩就ok了。
[00:10:03.407] 男：那你你你在你的叙述里面，你非要把你的另一半放在第一位是什么意思？
[00:10:10.680] 男：我理解不了。
[00:10:12.135] 女：这种奉献的姿态呀。
[00:10:14.463] 男：就谁要你奉献的？
[00:10:17.700] 女：哎。
[00:10:21.660] 男：要买车，你说那开车爽啊，开车咱俩你说咱俩都行，咱俩啥时候想去哪玩，开个车就去了，这不也ok吗？
[00:10:34.260] 男：不知道在哪学的话语。
[00:10:38.180] 女：有一个朋友。
[00:10:39.723] 男：一点没我听不到他的想法。
[00:10:50.120] 男：啊，我只我只对事啊，我不对人。
[00:10:54.240] 女：嗯，嗯嗯。
[00:11:06.380] 女：反正反正就是真的很。
[00:11:09.780] 女：但是就是。
[00:11:13.260] 女：如果如果说嗯嗯。
[00:11:15.678] 男：就。
[00:11:16.023] 女：如果说。
[00:11:17.960] 男：嗯。
[00:11:20.120] 女：如果如果说什么给亲戚什么一个交代来。
[00:11:24.100] 女：那那那太太挺好的。
[00:11:26.600] 女：你看我是从那么功利的角度去去讲这个东西。
[00:11:30.214] 女：对啊，我预期的完全不是谈到所谓的胃，而是只是。
[00:11:34.480] 男：我我我。
[00:11:36.840] 男：我好像你你说。
[00:11:39.440] 男：你说什么没有你先说吧，我的话不太重要。
[00:11:47.680] 男：嗯。
[00:11:52.400] 女：我我我考虑的就只有大学内的事情。
[00:11:55.576] 男：对呀。
[00:11:58.640] 女：就是就是你知道吗？
[00:12:00.471] 女：我讲到我我怎么我对于我我绝对不可能在未来怎么怎么样。
[00:12:06.195] 女：然后他一直他就想他就在想办法去说服我说就是给我找办法去克服那些东西嗯。
[00:12:14.540] 女：对。
[00:12:16.800] 男：这样你不累吗？
[00:12:20.180] 女：哎。
[00:12:21.380] 女：我到宿舍了。
[00:12:22.900] 男：Ok拿个包。
[00:12:30.320] 男：啊，我在给导师汇报了，怎么办怎么办怎么办怎么办怎么办怎么办？
[00:12:47.100] 女：那电脑过去玩吧，我。
[00:12:49.480] 男：去哪玩呀？
[00:13:11.760] 女：然后。
[00:13:13.920] 女：那对于那个。
[00:13:17.820] 女：我可以了。
[00:13:19.100] 女：他他对那个哎好看。
[00:13:26.940] 男：床垫了吗？
[00:13:31.620] 男：嗯。
[00:13:40.020] 男：嗯。
[00:13:46.400] 男：小猫粮这种的是啥呀？
[00:13:49.580] 男：蒜葱。
[00:13:52.460] 女：嗯，哼。
[00:13:53.560] 男：你没见过哎从点紫色的吗？
[00:14:08.020] 女：这小子啊。
[00:14:12.700] 女：我的想法就是。
[00:14:14.720] 女：他为啥不知道怎么面对我，他为啥喜欢就在一起啊。
[00:14:18.207] 男：他为啥不知道怎么面对你呀？
[00:14:20.540] 女：喜欢就在一起啊，为什么不可以啊。
[00:14:25.860] 女：他他他对我的期待就是可以一直一直待在一块，那那是就是那种。
[00:14:32.180] 女：以以以共同的未来发展的目标一起待在一块。
[00:14:37.580] 男：那没招呀。
[00:14:41.200] 男：不是那有招吗？
[00:14:45.460] 女：他你知道他对那个恋爱是怎么看的吗？
[00:14:49.371] 男：嗯，哼。
[00:14:51.120] 女：是一个谈三观的过程。
[00:14:55.540] 男：恋爱里面，三观确实重要。
[00:15:01.180] 男：但弹三个的过程是什么意思呢？
[00:15:05.420] 女：我不知道啊，我觉得他说的他朋友圈都能达到啊。
[00:15:23.660] 男：等一下。
[00:15:45.600] 男：嗯，嗯嗯。
[00:15:47.000] 男：宝宝离子呢？
[00:15:57.160] 女：我想想他为什么说不知道为什么，不知道怎么为什么，就是说不知道怎么面对嗯。
[00:16:03.706] 男：怎么说呢？
[00:16:05.260] 男：为什么为什么呢？
[00:16:08.240] 女：我能直接问他吗？
[00:16:10.046] 男：你问呀。
[00:16:12.740] 男：这有啥不能问的？
[00:17:51.460] 女：哦，对了，说到我操。
[00:17:54.140] 男：你的电脑太重了啊。
[00:17:57.400] 女：七八斤的砖头。
[00:18:00.115] 男：78。
[00:18:03.420] 女：那我不敢在宿舍了，宿舍没人。
[00:18:09.300] 男：哎，现在呃我我我之前不是和你说，我想整个苹果笔记本吗？
[00:18:17.540] 男：还记得吗？
[00:18:34.940] 女：嗯，那个很轻薄的是吗？
[00:18:39.180] 男：我给你看过吗？
[00:18:41.960] 男：没有吧，我没给你看过。
[00:18:44.360] 男：我等了一个。
[00:18:49.320] 男：这个这个这个本子啊。
[00:18:52.320] 男：我现在给你看。
[00:18:55.500] 男：Hello. 
[00:18:58.000] 女：嗯，我在听呢嗯。
[00:19:01.020] 男：这个本子。
[00:19:02.840] 女：嗯，晚上一起去散步。
[00:19:05.816] 男：谁呀？
[00:19:07.380] 女：DLS. 
[00:19:09.520] 女：厚蛋包。
[00:19:12.020] 男：考资本的真好看。
[00:19:16.680] 男：我也是没心没肺的人了。
[00:19:19.600] 男：怎么没有，我在自嘲。
[00:19:23.240] 男：这个这什么这个本子，我我我是从闲鱼上买的二手的。
[00:19:30.760] 女：我操你买了。
[00:19:32.588] 男：对呀。
[00:19:33.820] 女：你就跟我提了，有这个东这个东西好用。
[00:19:36.646] 男：我不知道你买啊，我忘记和你说了，我和子航说了。
[00:19:40.620] 女：别讲你们俩你你们俩科技好基友是吧？
[00:19:45.180] 男：确实我俩天天扯皮。
[00:19:47.920] 男：就是我这个东西，我向我妈要了1000块钱，然后加上我的工资，然后买的。
[00:19:58.700] 男：你个22手的笔记本。
[00:20:01.840] 男：嗯，它就表面有点磕碰，其他的话它的电池电池呢健康度还是百分之百，我的天哪。
[00:20:11.420] 男：什么百分之百电池健康度。
[00:20:15.080] 男：我操牛逼，电池容量百分之百，我从我从二道我从二道贩子那里买的。
[00:20:22.440] 女：我操牛逼。
[00:20:23.406] 男：然后这个本子我买的时候，你你猜要花多少钱？
[00:20:29.840] 女：怎么这么多计划的稿子。
[00:20:31.448] 男：你猜我这百分百的时候花了多少钱？
[00:20:34.060] 女：你不是说借了1000吗？
[00:20:35.974] 女：对呀。
[00:20:38.100] 女：嗯，啊这是不够一千的意思了。
[00:20:41.033] 男：还加我加加加我自己的工资，真服了。
[00:20:49.820] 男：1000块钱你啥都买不到。
[00:20:54.520] 女：1000 1600，要吧没有。
[00:20:57.130] 男：要不然就三千多。
[00:21:01.380] 女：二手的这么贵啊。
[00:21:03.220] 男：你要买一手的话，得要。
[00:21:06.420] 男：4 5400千嗯，主要是主要是这个本子它的配置比较好。
[00:21:12.420] 男：哦，它的内存是16GB然后存储是512G的。
[00:21:19.400] 男：好厉害。
[00:21:20.141] 男：其实你花两千七八两千七八能买一个8G的内存，加256G的那个存储空间，但是它对我来说有点小。
[00:21:32.300] 男：我就多加了300块，买了一个大一点的，我准备用它用个四五年。
[00:21:37.780] 男：然后这个本子他他最屌的是啥？
[00:21:42.000] 男：嗯，他充上电之后。
[00:21:44.600] 男：你可以你可以把你可以把那个电拔掉用，然后你能用两天。
[00:21:50.700] 女：什么意思？
[00:21:51.526] 男：就是咱的笔记本不都得插电用吗？
[00:21:54.840] 男：嗯，咱的笔记本，咱把那个电源拔掉之后，它不就耗电特别快，而且还变得卡吗？
[00:22:01.740] 男：但但但是这就是苹果的本子啊，你把它充完电，充满电之后，你把电源拔掉，你就可以你就可以像用手机一样用它。
[00:22:13.420] 女：什么意思？
[00:22:14.720] 男：你不用时时刻刻插着电了。
[00:22:20.820] 男：哦，对，然后然后就是关键是那个华为的轻薄本好像。
[00:22:25.902] 女：也是这样的呀。
[00:22:27.354] 女：啊我我我我感觉只有游戏本才会因为耗电比较快。
[00:22:32.437] 男：这是什么？
[00:22:33.405] 男：现在联想的本子。
[00:22:36.000] 男：联想的绝大多数本子在续航这方面做的都挺垃圾的。
[00:22:41.660] 女：嗯，那个合川太慈祥的是华为的。
[00:22:46.340] 女：好像是华为的那种很很轻巧的那个类似于平板一样的一个笔记本。
[00:22:53.652] 男：我我想我我我。
[00:22:55.360] 女：他好像续航也不错。
[00:22:57.840] 男：哎。
[00:22:59.160] 男：科学主义的，我要说句骂人的话了。
[00:23:03.560] 女：唉，你说买。
[00:23:04.686] 男：华为本的人都是傻逼。
[00:23:09.200] 男：我你你妈的逼华为一个本子，华为一个本我我跟你说华为那个出的新本子叫什么呃，matter pad, 我听我我。
[00:23:18.730] 女：听到你说本子，我想要笑，等一下。
[00:23:22.600] 男：好。
[00:23:23.640] 男：华为华为。
[00:23:25.466] 女：不怪我，华为出的。
[00:23:28.663] 男：那个新新笔记本。
[00:23:32.340] 男：叫什么my pad mate pad什么东西的，你知道它是个啥？
[00:23:38.920] 女：嗯，这个这个本子。
[00:23:40.373] 男：我猜他卖多少钱，我的妈一一说话，我就想骂人。
[00:23:46.020] 女：嗯。
[00:23:47.720] 男：硬盘用华为笔记本的全都是傻逼。
[00:23:50.860] 女：曾裔文恨国这块儿。
[00:23:53.160] 男：Mate pad 11，我看我看我看这国际版玩意儿卖卖多少钱？
[00:24:00.060] 男：啊，我看你妈的你卖多少钱？
[00:24:03.780] 男：你他妈你要你要是敢买超过5000，我我把我把你全家杀了。
[00:24:09.580] 女：等一下啊。
[00:24:24.160] 男：那天。
[00:24:42.680] 男：哎，华为mate pad a点就这个对mate pad a点鸿蒙二合一的平板电脑卖了5999。
[00:24:53.580] 男：就是个傻逼本子，我和你说。
[00:24:56.500] 男：然后呢，来来来来来。
[00:26:02.060] 男：Hello. 
[00:27:27.500] 女：好了好了，我回来了。
[00:27:29.757] 男：Ok. 
[00:27:30.180] 男：我接着和你骂了啊。
[00:27:32.940] 女：好笑，就就。
[00:27:34.200] 男：这个本子，你你看那个宣传图。
[00:27:37.980] 女：鸿蒙二等一下，我看完再回你made pad edge。
[00:27:42.705] 男：对。
[00:27:43.020] 女：二合一电脑。
[00:27:44.595] 男：对对对。
[00:27:45.540] 女：二分好厉害。
[00:27:47.115] 男：然后呢他他是啥？
[00:27:49.680] 男：就是你看他的宣传，说他可以当一个笔记本用。
[00:27:54.180] 男：但其实它就是一个笔记本，一个一个平板，一个pad。
[00:27:59.480] 男：加了一个键盘。
[00:28:02.440] 女：那不就是你这个ipad都都能用，都都有。
[00:28:06.105] 男：对，就是他这个本子。
[00:28:08.200] 男：它的架构就不不是架构吧，我怎么我想怎么说呢？
[00:28:13.410] 男：它的底层逻辑是pad它的底层逻辑是平板。
[00:28:19.480] 男：他的底层逻辑不是笔记本。
[00:28:21.926] 男：这就导致了一个很很很搞笑的现象，就是他他他。
[00:28:26.375] 女：他的宣传他的定位是啥？
[00:28:29.180] 男：一开始说是华为的二合一电脑，后来就改口叫华为的二合一平板电脑了。
[00:28:37.360] 女：我平板电脑。
[00:28:38.741] 男：啊专坑不到的。
[00:28:41.680] 女：哦，完了，我就是那种。
[00:28:43.328] 男：你继续说，就是专坑不知道的。
[00:28:46.400] 女：感觉咱俩跟那种啊那个那种捧哏似的。
[00:28:50.480] 男：就就他这个本子搭啥呢？
[00:28:52.723] 男：它本质就是一个平板电脑，就就是ipad平本身就是个ipad。
[00:28:58.180] 男：但是他宣传宣传了之后，把它宣传成一个一个一个二合一的二合一的笔记本。
[00:29:05.100] 男：6、能理解吧？
[00:29:06.440] 男：这导致一个很吊诡的很吊诡的现象。
[00:29:11.200] 男：一一个电脑它既然运行一个电脑的程序，一个内核，它运行一个系统。
[00:29:19.820] 男：现在现在的无论哪个系统的电脑，它一定能把命令行给调出来。
[00:29:26.080] 男：等一下拍个照行。
