[00:00:00.000] 男：那就是不限的哦，那错过了。
[00:00:02.450] 女：是下学期下学期再选，对吧？
[00:00:05.220] 女：嗯，确实是。
[00:00:07.080] 女：然后然后我重修那上面不是这门课，是那个计算机基础。
[00:00:12.045] 女：然后计算机基础它是替换成了人工一个AI的课程，然后学分是从一变成了2，但这个我选不了。
[00:00:21.500] 女：是是要填表吗？
[00:00:22.679] 女：是要填线下的纸质表格吗？
[00:00:24.841] 男：这门课是在哪里看到他课程替换了之类的？
[00:00:28.380] 男：呃。
[00:00:28.577] 女：他是在那个重修的那个文件里面有了有一个附件说他替换了。
[00:00:33.688] 男：但是如果他上面要求你怎么去操作。
[00:00:36.637] 女：呃，他要求我。
[00:00:38.160] 女：呃，选的时候替换成对应的课程，但是但是那个页面也是空白的。
[00:00:44.580] 男：你先过来了。
[00:01:07.860] 女：这个吗呃，应该是第三第三个文件。
[00:01:11.302] 女：对，然后重新说明第第三第三个，还有第二个都是。
[00:01:16.900] 女：哦，两学分挺好看的。
[00:01:25.080] 女：减少了意识。
[00:01:31.980] 男：那你就是在网上选不了这门课。
[00:01:35.508] 男：对。
[00:01:36.280] 女：然后还有一个中国思想史，我我在呃本学期的课表中找不到这门课，我不知道他是不是没有了。
[00:01:47.320] 女：在这门，就是在在那个课表什么汇总汇总那边找不到这门课。
[00:01:54.500] 女：然后然后文件里面没有说这门课是。
[00:01:58.240] 男：要找不到这门课，确定找不到这门课，确定这学期没有开。
[00:02:19.720] 男：什么名字？
[00:02:20.912] 女：呃，中国思想史。
[00:03:08.620] 男：那就是没有开这门课。
[00:03:10.654] 女：但是当时他也是第二学期开的课。
[00:03:24.180] 女：首先哈这样哈。
[00:03:25.376] 男：我给你再一起给你研读，在这个文件上面，他都有操具体说明怎么去操作的啊。
[00:03:38.580] 男：如果你的系统页面空白对吧？
[00:03:41.161] 男：对，首先你去确认了这门课有没有开，比如说你的中国思想史，对，那他是没有开的。
[00:03:48.260] 男：但是如果说你还是坚持认为他是在第二学期开的课，我嗯对吧？
[00:03:53.854] 男：那你如果有问题。
[00:03:56.220] 男：这里有一点。
[00:03:59.380] 女：就是网上无法。
[00:04:00.692] 男：选择的话，你就填进附件2。
[00:04:03.340] 男：现在还可以填，就是你现在是网课有问题，对吧？
[00:04:08.109] 男：嗯，你打开这个附件二嗯。
[00:04:10.760] 男：钱说明你有什么问题。
[00:04:13.345] 男：嗯嗯。
[00:04:14.060] 女：我的我的我就是不太确定这门课它是被替换了，还是说已经没有开。
[00:04:21.640] 女：还是说只是这个学期没有开，所以我是想确认这个。
[00:04:25.424] 男：我也不知道对吧？
[00:04:26.686] 男：嗯，如果你有问题，首先我也只能看那个表，你确实是没有这门课。
[00:04:31.372] 男：你要是自己确定你系统上也选不了，你就填入这个问题汇总哦，那你有什么问题，对吧？
[00:04:38.520] 男：然后你就写清楚你的是什么问题，嗯，能不能解决，人家会给你反馈的。
[00:04:43.605] 男：哦，哦这个也不是我在处理，因为我没有这个权限去处理，我不是教务系统的人嗯。
[00:04:49.740] 女：然后然后你第二个问题。
[00:04:51.984] 男：你的那门计算机的课，对，计算机的课，你看这里。
[00:04:56.248] 女：它它也是点了的。
[00:04:58.380] 男：呃，如果你就是。
[00:05:03.320] 女：也是不能选课。
[00:05:04.468] 男：你的这个应该是属于这种情况，对吧？
[00:05:07.340] 男：你教学计划变动。
[00:05:08.820] 男：嗯，科目学分变动了。
[00:05:11.020] 女：对不对？
[00:05:12.055] 女：嗯。
[00:05:14.800] 男：嗯。
[00:05:16.120] 男：他那个课不能选，对吧？
[00:05:18.093] 男：对，那你同样是先填入这个问题，汇总，你那门课不能选。
[00:05:22.917] 男：嗯，其次的话应该是要再补选一个学分的对，补选学分的话。
[00:05:29.000] 女：他没有说他怎么选。
[00:05:31.600] 男：不一致。
[00:05:32.900] 男：嗯，就。
[00:05:36.200] 女：这个这个是只有大学英语和大学日语要要填的。
[00:05:45.860] 男：应该是有一个。
[00:05:48.300] 男：补选的也填到加一个学分。
[00:05:51.700] 男：嗯，没有，你看。
[00:05:54.100] 男：选课时，如果你的课程学生与学生不一致，你填附件期。
[00:06:00.240] 女：但是我现在是选不了课。
[00:06:02.198] 男：你先写上，你选不了他会给你处理能不能选。
[00:06:05.722] 男：如果他给你选上，但是你学分又不一致，你还是要再填附件7. 
[00:06:10.618] 女：就是两个一学分，就是两位去填。
[00:06:13.164] 女：对。
[00:06:13.500] 男：你现在都两个都填，因为你有问题都填，因为你不填的话，那你就是我就是我们遗漏了。
[00:06:19.731] 男：但是你填的话。
[00:06:21.040] 男：他会给你处理，处理不了会给你反馈。
[00:06:24.280] 男：是不是这两个问题？
[00:06:26.047] 男：嗯。
[00:06:26.268] 女：然后就是他原则上免听是只能免了的，然后嗯然后剩下的他说不能跨校区选课。
[00:06:33.557] 女：就是说如跨校区的话。
