[00:00:00.000] 女：你需要我往他那边靠吗？
[00:00:03.820] 男：搞什么东西。
[00:00:09.320] 女：然后我就有点喘不上喘不上气怎么。
[00:00:13.400] 男：爸爸，你子呢？
[00:00:15.240] 女：嗯，然后他他这个时候就稍微有一点酸，能不能轻易这个。
[00:00:22.800] 女：然后我这次买了好几个。
[00:00:27.620] 女：嗯，老公QQ。
[00:00:36.660] 女：然后就是说我还在生气。
[00:00:39.540] 女：所以我我我我拒绝我不答应。
[00:00:43.400] 女：然后就是然后。
[00:00:45.680] 女：然后反正他就说因为我喜欢你嘛，所以肯定对你有欲望的，然后但我不会去做你不愿意接受的事。
[00:00:54.080] 女：但是他还是一直在问吧，就是说。
[00:00:59.440] 女：就是一直在问可不可以。
[00:01:02.360] 女：然后我就跟他说，你自己考虑好后果吧，你自己你自己你自己知道面对什么东西吗？
[00:01:11.360] 女：我说我觉得你都没有想清楚。
[00:01:14.880] 女：我觉得这个不是我愿不愿意的问题，是你自己有没有想清楚的问题。
[00:01:19.500] 女：我觉得你今天晚上都没有想清楚这些事情，所以所以所以等到你什么时候再说，他的意思是什么？
[00:01:26.100] 女：我等我原谅他之后再再做，但我的意思不是这样。
[00:01:29.660] 女：然后然后我就想想走了，然后好像不知道干嘛，又又回到那椅子上。
[00:01:36.720] 男：嗯，然后又又。
[00:01:37.970] 女：重复了几次这样的循环吧，然后我就。
[00:01:41.860] 女：然后反正他的中间元素就是贴嘴，嘴贴贴着，然后没有继续。
[00:01:48.780] 女：因为我没有答应嘛，然后他就说他又说就是说嗯。
[00:01:55.060] 女：就不不愿意算了什么的，然后就问。
[00:01:58.740] 女：嗯，然后我觉得。
[00:02:01.380] 女：那如果他自己都这么说，他说这个只是觉得一种当下的陪伴啊什么的。
[00:02:06.694] 男：陪你妈的。
[00:02:07.428] 女：然后他自己能能能接受以后有什么样的后果什么样。
[00:02:11.900] 女：那那我感觉无所谓嘛，我靠。
[00:02:14.107] 男：我操你妈的，他妈的他亲你是他妈谁有后果啊？
[00:02:19.740] 女：嗯。
[00:02:20.820] 男：妈的妈的，逼这个人能不能不要脸呢？
[00:02:26.700] 男：对不起，已经说了。
[00:02:31.780] 女：嗯。
[00:02:34.380] 女：然后嗯。
[00:02:40.520] 女：我觉得我。
[00:02:42.100] 女：我回来之后跟他说，明天出来那个活动是休要休活动是就是之后就明天就先不要见面了嗯。
[00:03:00.060] 男：哎，抱抱离婚了。
[00:03:02.200] 女：嗯，他就跟我说，你要是我，因为我跟他说，他问我对他觉得我这样做好像有点趁人之危，我就跟他说不知道。
[00:03:12.520] 男：他何止趁人之危？
[00:03:18.500] 男：真他妈流忙。
[00:03:20.780] 女：我跟他说，昨天晚上给了他机会了，我说能不能亲他什么的，我说我那个时候说你想亲也是可以的，然后他自己不要。
[00:03:31.140] 男：真他妈流忙。
[00:03:39.580] 女：嗯，然后他那个时候。
[00:03:42.340] 女：我不知道他为什么要我什么原谅他呀什么的，然后。
[00:03:46.671] 男：还有什么，那是这个问题吗？
[00:03:49.940] 女：不是不是不是因为做了这个事情原谅他是就说希望就今天晚上那些事情就能不能之后那一天原谅他这样子。
[00:04:02.800] 男：为了你有用吗？
[00:04:05.480] 女：嗯，然后还有什么？
[00:04:07.720] 女：他说。
[00:04:08.330] 女：他说今天晚上。
[00:04:11.200] 女：哎，就是回宿舍的路上，我跟他说嗯，就是你不应你应该你应该继续录音的办法。
[00:04:18.520] 男：我是这个路上。
[00:04:20.820] 男：嗯，什么时候应该继续录音？
[00:04:24.340] 女：我说你刚刚应该把我把我说的这些话都录。
[00:04:27.910] 男：上啊嗯我在录。
[00:04:29.580] 男：你在录吗？
[00:04:30.876] 女：嗯。
[00:04:31.640] 女：你好，聪明。
[00:04:34.220] 男：你看，然后嗯你说。
[00:04:37.100] 女：然后刚刚不是我回宿舍吗？
[00:04:40.720] 女：那还是这个温度。
[00:04:43.220] 女：在那个楼梯上，我直接就就跪下来了。
[00:04:47.036] 男：对呀嗯。
[00:04:48.460] 女：哎，我跟他说我要我就跟他说，他妈的我我他妈这么醉你，你亲我，你有没有考虑过他有什么后果嗯？
[00:04:57.340] 女：然后他就说有可能你因为讨厌我，然后有可能。
[00:05:02.940] 男：为什么这个人有可能他。
[00:05:05.840] 女：我打死他。
[00:05:07.140] 女：然后有可能我再也不理他了。
[00:05:09.660] 女：然后然后就是听到这三句话之后，我就意识到好像有问题了。
[00:05:14.403] 男：真他妈傻逼，他满脑子都是自己你。
[00:05:18.240] 女：对吧满脑都是他自己。
[00:05:20.023] 男：什么叫我牵着你，你以后可能不理我了，我靠，你把我当人吗？
[00:05:26.300] 女：对吧？
[00:05:27.840] 男：搞什么东西啊？
[00:05:29.780] 女：就是就是在过程中，他看似好像很多人都说。
[00:05:33.720] 女：你要是不舒服的停下来，什么我不我不会做你不愿意的事情。
[00:05:38.920] 男：不是，那你妈你都那个状态了。
[00:05:41.416] 女：但是是有问题的对。
[00:05:43.080] 男：不是，咱就是说他还能提出听你的请求，从这个时候他就已经不对劲儿了。
[00:05:51.060] 女：我看我跟他说，我还在生他的气啊，我的天。
[00:05:54.540] 男：你俩生的气，你还喝酒，你那么醉，然后你说你呃，他说他要亲你。
[00:06:00.300] 男：你搞什么东西，你这个。
[00:06:03.260] 女：对吧？
[00:06:04.500] 女：好，对我。
[00:06:06.000] 女：所以我就决定好好审视这个事情。
[00:06:11.720] 男：你搞个什么东西？
[00:06:14.540] 女：然后他居然还问我，你今天晚上还打算回学校吗？
[00:06:19.301] 男：啊？
[00:06:19.800] 女：你听懂这个暗示了吗？
[00:06:21.814] 男：我去你妈的逼吧，老子他妈走也得走回去。
[00:06:26.220] 女：然后。
[00:06:28.400] 女：然后就是在路上他也问，他说这是要到学校了，他问你，你还要回学校吗？
[00:06:33.773] 女：这种不是他。
[00:06:34.700] 男：你妈是不是看你喝醉了，他故意的呀。
[00:06:38.820] 女：嗯。
[00:06:42.000] 女：有可能。
[00:06:44.560] 男：我们多保护一下自己啊。
[00:06:49.160] 男：晚上的话尽量。
[00:06:51.180] 男：去人多的地方。
[00:06:53.100] 女：嗯，所以我。
[00:06:58.960] 女：所以所以所以所以我。
[00:07:04.000] 女：我想想搞什么。
[00:07:05.394] 女：然后他今天晚上面对我的那些话，他的一个防御的态度觉得也挺值得玩味的。
[00:07:12.832] 男：他就他就原谅我。
[00:07:15.700] 女：就是他在说我我不知道可以这样做，嗯，就就很慌。
[00:07:19.862] 女：然后你在合川其实也是有很对症的，当时我就得换事。
[00:07:24.442] 男：你妈我听他说话我都感觉点。
[00:07:28.000] 男：拜拜，都有听他说话，我都烦。
[00:07:30.444] 男：你说的什么，你你你他妈都他妈扯来扯去就扯到点子上了吗？
[00:07:36.900] 女：对吧？
[00:07:37.443] 女：他其实他其实说那句话。
[00:07:40.300] 女：我我我感受到的意图，其实你应该觉得是更准确的吧。
[00:07:44.680] 男：就就是哎反正就是你你你原谅我你原谅我就ok了。
[00:07:50.100] 女：不是原谅，是我是说他问那两个问题所折射的一些东西。
[00:07:55.380] 男：啊，那是他他说是为了。
[00:07:57.367] 女：更了解你啊，然后我带的问题啊，什么不是。
[00:08:01.122] 男：他他他这个话一眼就能就不是一下子就能识破。
[00:08:06.540] 男：他他如果为了更了解你，他不会这样去问。
[00:08:11.420] 女：对吧？
[00:08:11.931] 女：然后他居然还说。
[00:08:13.940] 女：什么我我不知道，就是如果我我说如果我的问题不能你满意你那你会怎么办？
[00:08:21.082] 女：嗯，但这个事我不知道。
[00:08:23.091] 男：什么叫你，哎，我的个天。
[00:08:25.900] 女：对吧？
[00:08:27.280] 男：啊。
[00:08:30.680] 女：所以我就在想。
[00:08:32.580] 女：其实其实我跟之前那个事情性质。
[00:08:37.212] 男：有点类似。
[00:08:38.536] 女：嗯嗯，但是。
[00:08:40.380] 女：相对而言，他这次我。
[00:08:44.000] 女：我我相对而的更有一点主动权吧。
[00:08:48.824] 女：对，但是我觉得我。
[00:08:51.236] 男：嗯你能看清。
[00:08:54.020] 女：对我我现在能看看看得更清楚了。
[00:08:57.013] 女：对，就是不会被他的情绪啊一些什么。
[00:09:00.360] 女：那种就是你你相信我能做得更好，我这种事情给。
[00:09:04.680] 女：A股是出口嗯。
[00:09:10.260] 女：什么我我说你能不能相信我，我说那些话。
[00:09:14.620] 女：真的会就是毁坏我们的关系。
[00:09:17.800] 女：然后他说你那你相信可以相信我吗？
[00:09:20.486] 女：我操出什么回答？
[00:09:27.320] 女：嗯，然后他就他就在那里跟我说，嗯，就是我之后我们分开的嗯，就能不能找一个体面的方式，就互相怎么样？
[00:09:37.247] 女：你们当时是说这个的语境吗？
[00:09:40.018] 男：你们两个在一起过吗？
[00:09:42.096] 男：就谈分开。
[00:09:48.760] 女：嗯。
[00:09:50.740] 女：所以我就在想哦。
[00:09:53.094] 男：不是那个。
[00:09:54.860] 男：不是那个情况，不是他说的那两个傻逼问题，然后让你给他他被冒犯了吗？
[00:10:01.282] 男：那怎么还能扯那么多一堆东西呢？
[00:10:06.880] 女：但在路上还一直不说话。
[00:10:10.280] 男：那这个时候你要么就就让你。
[00:10:13.920] 男：哎。
[00:10:15.840] 女：然后他你然后然后他其实自己能意识到一些问题，我就很生气什么的。
[00:10:20.928] 女：他就说你是不是忽然觉得我很陌生？
[00:10:25.700] 女：嗯，就是这个问题也也挺有意思的。
[00:10:33.040] 男：你管我就当你啥去。
[00:10:38.320] 女：其实其实怎么说呢，在在我。
[00:10:42.380] 女：嗯。
[00:10:43.860] 女：但是我决定跟他说一些，就是我经历的那些侵犯的事情。
[00:10:48.620] 女：我就已经做好了之前的这种准备了。
[00:10:52.007] 男：宝宝，李子们太辛苦了。
[00:10:56.320] 女：我觉得最大的问题就是他他没有意识到。
[00:11:00.060] 女：就是我我有专门跟他说，我喝醉酒了，然后我要求他怎么样。
[00:11:04.560] 女：然后我觉得最大的问题是，他居然没有意识到就是这两者之间有一些相似处。
