[00:00:01.940] 男：我在偷偷记录。
[00:00:03.840] 女：你别这样。
[00:00:04.546] 女：你别。
[00:00:06.400] 男：试一下啊，这个脚垫。
[00:00:12.440] 男：我到。
[00:00:14.000] 女：那就如果你是真的有这个意思的话，我想别的我就很不想赢，我就。
[00:00:20.880] 男：很灵活啊很灵活。
[00:00:25.520] 男：我想看得到。
[00:00:30.800] 男：看你的小尾。
[00:00:39.100] 男：他跟我说了，他怎么说的。
[00:00:41.500] 男：跟你差不多的意思，但是我好奇他怎么说的。
[00:00:49.840] 男：别的孩子，我怎么知道你？
[00:01:04.040] 男：其实说关键词大概就说不出来。
[00:01:19.520] 男：你或者你说那个女字旁的他。
[00:01:28.900] 女：滚了。
[00:01:33.160] 男：你们聊这么多吗？
[00:02:17.740] 男：老大了。
[00:02:24.040] 男：他说是很大的事情哦。
[00:02:26.320] 男：这也是。
[00:02:29.420] 男：但是啊好多这个行业也。
[00:02:32.580] 男：3月2开学。
[00:02:37.740] 男：早说了。
[00:02:38.440] 男：早说了。
[00:02:44.560] 女：不要拍。
[00:02:46.680] 男：啊，我要看。
[00:02:53.220] 男：我问你你我我。
[00:02:54.540] 女：跟他说。
[00:03:00.320] 女：哦，是因为他看到我QQ动态，看到我损伤了。
[00:03:08.620] 男：嗯，然后我就说我就说。
[00:03:10.540] 女：你什么时候来？
[00:03:12.240] 男：我我问他，你什么时候来学校？
[00:03:31.400] 男：啊，咋样？
[00:03:32.124] 男：我啊不是2月28的。
[00:03:35.540] 男：怎样。
[00:03:46.720] 女：我也不知道你为什么还是不开我。
[00:03:49.092] 男：我28号28. 
[00:03:50.448] 女：你自己改成你28卡了吧。
[00:03:52.482] 男：我不记得。
[00:03:54.000] 男：操你妈，我我手机从3月4号开始那个记录全没了，为什么？
[00:03:59.080] 男：微信和bug。
[00:04:00.960] 男：跑步回来。
[00:04:02.860] 男：然后呢。
[00:04:06.260] 男：然后刚好停。
[00:04:07.500] 女：我就问了呀，我说话说你们两个。
[00:04:09.695] 男：到哪一步了？
[00:04:10.860] 男：这个手抖已经问到哪一步了吗？
[00:04:22.860] 女：呃，寒假一起，寒假。
[00:04:24.880] 女：摸着一起不行的时候，我已经嗅到苗头了。
[00:04:27.887] 男：我感觉不到呢。
[00:04:28.949] 男：为什么？
[00:04:29.620] 男：我没有感觉到哎。
[00:04:33.760] 女：没有感觉到，嗯。
[00:04:35.033] 男：真的没有感觉到。
[00:04:38.220] 女：还是说你感觉不到他喜欢你？
[00:04:40.840] 女：两个都感觉。
[00:04:41.810] 男：不到前走吧。
[00:04:46.340] 女：我爱妹们就你们两点等在拉丝，你知道吗？
[00:04:50.000] 男：等他妈在拉丝，你要想怎么说呢？
[00:04:54.120] 女：我们住的我也就。
[00:04:56.460] 女：那是不是每次都是你俩在那里？
[00:04:59.520] 男：男朋友，你们都不可以啊。
[00:05:02.080] 女：我们等可以进去吗？
[00:05:04.160] 男：你们不说话要干嘛的，然后然后你又在那里睡觉，然后回去留在你。
[00:05:08.860] 男：他看他自己的，然后我俩。
[00:05:11.520] 女：因为什么呢？
[00:05:12.375] 女：因为什么？
[00:05:13.060] 女：两个在聊店里的音乐，聊店里聊动漫。
[00:05:15.628] 男：然后我跟何一林都不懂。
[00:05:21.000] 男：六条啊。
[00:05:24.400] 女：这种感觉吧。
[00:05:27.940] 女：判决吧。
[00:05:31.840] 女：就是我能看得出来他对你不一样。
[00:05:35.200] 男：当局者民。
[00:05:36.620] 男：你们是哪里的大三学生？
[00:05:42.400] 女：我来一首。
[00:05:46.820] 男：就是然后我就问我。
[00:05:48.108] 女：然后我就问他说你们在什么？
[00:05:55.240] 女：然后他说然后他说觉得很就没了呀。
[00:06:00.940] 女：就问了他这个这么早。
[00:06:03.720] 女：这么早，也就几天前，也就十几二十天前。
[00:06:09.360] 男：这个哎我不知道。
[00:06:17.420] 女：去吃完日料回来的那天晚上，我跟梅林就有所察觉了。
[00:06:21.240] 男：你以为我是什么很迟钝的人吗？
[00:06:26.040] 男：啊，六六那天晚上咋了？
[00:06:27.697] 男：六号那天晚上。
[00:06:28.802] 女：我们两个就觉得有点。
[00:06:30.600] 女：我有点幽灵了。
[00:06:32.820] 男：哦，这样呢。
[00:06:35.100] 男：这段是可。
[00:06:36.060] 男：那吃完吃完吃完寿司怎么了呀？
[00:06:42.460] 男：不可能。
[00:06:51.720] 男：要building吗？
[00:07:00.100] 女：你你是觉得这个对你造成。
[00:07:04.160] 女：呃，困扰了是吗？
[00:07:05.263] 女：没有。
[00:07:05.631] 男：只是正好发生了一点事情。
[00:07:07.653] 男：咋了？
[00:07:08.021] 男：我觉得这位工友有必要跟你说一下。
[00:07:13.100] 女：人太多了吗？
[00:07:14.900] 男：哦，这个没关系啊。
[00:07:17.320] 女：按照这个。
[00:07:18.680] 男：但是。
[00:07:19.900] 男：就是就是就是前几年发生的一次，这前面其实我觉得都挺都还好。
[00:07:25.940] 男：然后他他就跟我表明了他的心意什么？
[00:07:30.640] 男：然后。
[00:07:31.550] 女：然后。
[00:07:33.960] 男：你不能算是正式表白，就是因为一些一些机遇吧，然后他就把那个想法说出来了。
[00:07:40.700] 男：也没有说就是很有正式表白的感。
[00:07:43.180] 男：但是但是我但是有那个意。
[00:07:46.220] 女：然后那如果是你的话。
[00:07:48.071] 男：你会想到有。
[00:07:49.960] 男：然后然后我就我就我就开始就是花了几天去跟他跟他谈论这个东西。
[00:07:57.160] 男：然后就是。
[00:07:58.780] 男：因为我知道我跟他有一些，关键是。
[00:08:01.120] 男：可能不合的，然后我就把这些东西告诉他。
[00:08:04.680] 男：然后。
[00:08:06.420] 男：没有啥，然后然后其实都还好。
[00:08:09.580] 男：就是就是前天晚上发生的发生的事情，让我感觉他的行为模式很危。
[00:08:17.260] 男：那天晚上我我跟他出去。
[00:08:19.700] 男：散步，他他说我想想陪我想让我陪他散步。
[00:08:23.640] 男：然后结果结果他。
[00:08:25.600] 男：他他他当时在路上问了两个很傻逼的问题，惹得我火特别大。
[00:08:31.160] 男：就特别特别冒犯的。
[00:08:33.360] 男：然后然后然后然后然后下车之后，我情绪上有点受不了了，我就跟他说我得买点酒，意思就是我得冷静一下。
[00:08:40.587] 男：然后他就带着我喝酒，反正路反正在那个路上，我就跟他谈了一些关于我为什么觉得他那个问题有冒犯，还有。
[00:08:48.120] 男：就跟他聊了一下。
[00:08:49.325] 男：前段时间我们在沟通的东。
[00:08:51.620] 男：然后感觉到当时那个姿姿态特别防御，然后然后当时我特别什么防御。
[00:08:57.360] 女：哦，还还在。
[00:08:59.480] 女：具体回答还是。
[00:09:02.820] 男：有一点就是应该去讨论的时候，他。
[00:09:06.920] 男：他有点在怪我没有早告诉他什么的，就是就是就是感觉感觉那个姿势。
[00:09:14.040] 男：并并不是在一个想要跟我好好沟通的。
[00:09:16.760] 男：那个那个感觉就是。
[00:09:21.760] 男：像相亲一样，你未来你未来的计划是什么？
[00:09:25.160] 男：你对我是什么看法？
[00:09:26.760] 男：然后当时我们两个在半路还没有到车。
[00:09:30.760] 女：没有任何铺垫没有任何铺垫。
[00:09:32.735] 男：他他本来只是说他那天下午很难过，他有点有点想我陪他一起，然后说晚上能不能出去。
[00:09:38.840] 男：然后晚上那活动是我你问我的时候，就是那个时候我们俩在当初活动是。
[00:09:44.200] 男：因为他说我那天本来是打算自己待着的，然后他说晚上出去散步，就是活动室那边坐着。
[00:09:49.720] 男：七点半出去的。
