[00:00:00.080] 男：Ok. 
[00:00:02.840] 男：我这台阶挺宽的呀。
[00:00:06.720] 女：对啊。
[00:00:07.374] 男：你你你是怎么个情况？
[00:00:11.240] 女：哎，我给你给你打视频。
[00:00:13.340] 男：给我打视频。
[00:00:14.906] 男：行。
[00:00:22.160] 男：Hello. 
[00:00:24.280] 女：就是昨天我不是喝喝了吗？
[00:00:27.195] 女：嗯。
[00:00:27.940] 女：我本来坐在那里，坐在那个亭子里啥问题都没有的啊。
[00:00:32.528] 女：嗯就是我在那发呆，在那想，然后发现嗯就是刚刚刚刚本来想说的，然后一直情绪突然间全都不见了。
[00:00:41.220] 女：我就感觉有点有点没劲儿，我就我就在那个瓶子喝完喝完酒了之后，我就站起来走，嗯，结果他妈就走不稳了，然后然后就那个了嘛。
[00:00:50.960] 女：然后那个时候我还觉得。
[00:00:53.120] 女：就是至少我的意思是蛮清醒的，我能够知道在发生什么事情。
[00:00:58.531] 男：然后能够说不嗯，然后。
[00:01:00.620] 女：嗯，然后然后能够去告告知风险什么的嗯。
[00:01:04.740] 女：然后然后结果结果结果结束之后，我们就回回学校嘛嗯。
[00:01:10.460] 女：那就前面的小电瓶啊，前面小电瓶我都。
[00:01:15.040] 女：就是就是就是就是就是准备上去的时候，我发现我的那个袋子没拿，我就过去拿。
[00:01:21.104] 女：嗯，然后他先帮我拿，他被我喷，他就甩就甩开了，嗯。
[00:01:24.780] 男：不让他拿。
[00:01:25.515] 男：嗯，然后然后然后。
[00:01:26.802] 女：他那边之后感觉没什么。
[00:01:28.780] 女：利息上结果结果上次之后嗯我他。
[00:01:32.760] 女：就是他他让我靠在那个肩膀上，嗯，让他们头我听到了，然后我不是很想搭，但但是我就但是我只能搭在那，然后我的头就他妈往下掉。
[00:01:44.460] 女：就是。
[00:01:45.660] 女：我看看。
[00:01:48.600] 女：就是就是就是本来不是这样的嘛，嗯然后呢，他就就就。
[00:01:53.620] 女：你直接垮塌，垮到他肚子上去了。
[00:02:00.240] 男：哎。
[00:02:01.840] 女：啊，那个是我还是不是很快？
[00:02:04.880] 女：我操我这状态我说。
[00:02:06.822] 男：不了话呀，你这个时候才发现我。
[00:02:12.620] 男：啊，对对。
[00:02:27.760] 女：151。
[00:02:29.600] 女：我的也受不了。
[00:02:32.200] 男：我只能说你没从电瓶车上掉下来算你。
[00:02:37.420] 男：坐得稳。
[00:02:45.420] 男：啊。
[00:03:03.340] 男：嗯。
[00:03:18.540] 女：然后我再摇摇头。
[00:03:21.240] 男：嗯。
[00:03:23.300] 女：然后后面有一个他他一直他一直跟我说。
[00:03:38.340] 男：嗯。
[00:03:39.420] 女：练，我来稍微。
[00:03:42.220] 女：笑的时候我稍微清醒了一下，但是。
[00:03:44.360] 女：我他妈。
[00:03:47.680] 男：啥还。
[00:03:51.880] 男：你应该以。
[00:03:57.840] 男：不是你这种。
[00:04:01.860] 女：你不是我睁开眼睛，他说。
[00:05:15.500] 女：那然后然后。
[00:05:17.660] 女：他说停下来打瞌睡，然后就是走到这儿。
[00:05:21.389] 男：走着走着，停下来打磕睡。
[00:05:24.260] 女：嗯，那也有也有跪下来了。
[00:05:28.720] 女：然后呢，这边不是一个台阶吗？
[00:05:30.744] 女：嗯，要不就是这里就这里跪下来吗？
[00:05:33.106] 女：然后这里这里这里正好能就能挡住我的身体。
[00:05:36.312] 女：嗯，我的我同学放在这儿。
[00:05:40.380] 男：不疼吗？
[00:05:42.620] 女：就是横跨横横跨的这三集。
[00:05:48.060] 男：我的天哪。
[00:05:50.640] 男：那你头上有没有磕出包呀？
[00:05:53.840] 女：我不是肯定不是直接就拱那个倒下来，我是有意识，就是不硬实的，是有意识的掉下来了。
[00:06:02.080] 男：站不动站站不住了。
[00:06:05.460] 女：有吧。
[00:06:07.780] 女：然后到这一段时间的，对我来说挺自然的，但是我又反应一下，不会吧。
[00:06:13.557] 男：你自然正常。
[00:06:14.589] 女：我们不会这样子穿。
[00:06:16.380] 女：他的逻辑不是你。
[00:06:18.690] 男：自然个球球。
[00:06:21.920] 男：你出去逛街，然后你会突然就跪在楼梯上吗？
[00:06:29.360] 男：那起码那不是你站不住了。
[00:06:42.820] 女：走了一圈，在那个椅子上。
[00:06:45.700] 男：那你这个。
[00:06:47.460] 女：不回来。
[00:06:53.260] 女：但是我还是。
[00:06:55.420] 男：那你妈你刚喝完，你得你得你得你你得。
[00:07:17.820] 男：奖励了呀。
[00:08:01.260] 女：从从从我那个从呃从我宿舍门口到本科大门。
[00:08:07.880] 女：只要十分钟，然后他相对可能说我坐在门口到这里都已经算远了。
[00:08:13.820] 女：出门口，但是到到那个那个门口应该就五分钟左右吧。
[00:08:25.260] 男：你能走得动路。
[00:08:27.820] 男：你立了。
[00:08:47.000] 女：嗯，我的呃。
[00:08:54.620] 男：Hello hello, 网络不佳。
[00:09:04.220] 男：我们国家。
[00:09:52.860] 女：边形。
[00:09:58.640] 女：这样就是。
[00:11:13.300] 男：那你就。
[00:11:14.520] 男：你都过。
[00:11:16.960] 男：不都热了。
[00:11:18.360] 男：你还能。
[00:11:20.580] 男：没法走路晃晃的那你刚喝完你的状态。
[00:11:48.020] 男：定义的。
[00:12:03.800] 女：嗯。
[00:12:35.640] 男：在那个时候。
[00:12:42.420] 男：只是听你已经。
[00:12:45.420] 男：因为什么？
[00:13:23.860] 男：呃，特别的。
[00:13:31.620] 男：600万呢，对吧？
[00:14:14.240] 男：我说。
[00:14:16.420] 男：样子他带你去哪？
[00:15:05.420] 男：对呀，爆爆裂声啊。
[00:16:26.920] 男：他肯定会诡异的呀。
[00:16:39.220] 男：好啊。
[00:16:57.120] 男：坏事儿。
[00:17:02.340] 男：不能去。
[00:17:04.420] 男：是这个。
[00:17:19.360] 男：不一样。
[00:17:21.900] 男：偏贵一点。
[00:18:04.620] 男：和控制。
[00:18:21.860] 男：什么我我没听。
[00:18:43.800] 男：我想套着呀，我就这套吧。
[00:19:00.620] 男：你就是喝的再醉，你你想做。
[00:19:06.600] 男：你那种状态不一样啊。
[00:19:10.560] 男：你不是想不想做。
[00:19:12.467] 男：你。
[00:19:12.880] 男：你你是你。
[00:19:14.620] 男：过了。
[00:19:17.440] 男：更少的应该行。
[00:19:21.620] 女：就这一个。
[00:19:23.040] 女：嗯。
[00:19:24.020] 女：他这一个。
[00:19:28.700] 男：什么意思？
[00:19:31.420] 女：他要你一个。
[00:19:34.220] 女：没有完整的鞋子。
[00:19:48.400] 男：就是遁词呀，就是一种遁词，就是嗯他他喝醉了，他答应了，你说你拿个你喝。
[00:19:58.020] 男：答应了吗？
[00:19:59.060] 男：对吧？
[00:20:00.820] 女：也就是一个。
[00:20:02.540] 女：多次激烈的。
[00:20:05.440] 女：那个那个那个。
[00:20:07.720] 女：做一个定号。
[00:20:09.520] 女：呃，就是对方去从头去软化。
[00:20:13.220] 男：对。
[00:20:14.880] 女：这个燃料是能够在良心上面的。
[00:20:19.960] 男：嗨。
[00:20:21.880] 男：有点东西那么多。
[00:20:24.360] 男：基本没啥良心了。
[00:20:27.020] 男：就是然后嗯然后。
[00:20:29.268] 女：然后我的边界意识确实。
[00:20:35.980] 男：那么孩子。
[00:20:37.260] 男：那个最基本的判断你对了。
[00:20:40.800] 男：我我我且不说我是你的关系比较近的朋友了，我就是你的一个陌。
[00:20:47.460] 男：也不算陌生人，就是你认识的一个人。
[00:20:50.210] 男：我看你最那么厉害，我他妈是不是得把你送回去呀？
[00:20:55.380] 男：有你室友的那个联系方式，我是不是得叫室友好出来见你呀？
[00:21:02.700] 女：贷款人是给经理了。
[00:21:04.520] 男：对呀，他妈的他就是智商上脑了，然后又看你看你醉成那个样子，你你你你基本没啥行事能力了。
[00:21:14.880] 男：哎。
[00:21:16.140] 男：不丢不丢不丢，哎，不好意思了。
[00:21:22.020] 女：那他。
[00:21:23.140] 女：没意思。
[00:21:24.340] 男：什么。
[00:21:26.220] 女：这本来就有那种意思，然后当时他那种状态就在家。
[00:21:30.600] 女：放大了。
[00:21:31.820] 男：对呀。
[00:21:34.160] 女：然后他有一个很吊诡的点就是。
[00:21:37.640] 女：但是他想听我的意思是，他想他想在下。
[00:21:43.020] 女：这是貌似的意思是这个群人给我是省东西来。
[00:21:48.880] 男：你别跟他狡辩。
[00:21:51.980] 女：然后呢。
[00:21:55.500] 男：我操你妈啊。
[00:22:01.300] 女：那你那你往前推，他为什么就那种状态了？
[00:22:04.252] 女：对呀。
[00:22:06.420] 男：那是你妈，不是你你你你这个臭傻逼，你让我进入这种状态的吗？
[00:22:12.420] 女：我如果如果如果是我因为以前的事情太伤心了，就这种状态我就都还能。
[00:22:17.520] 女：嗯。
