[00:00:00.000] 女：所以给您论文，它其实就类似于第一次理论评测那种论文一样。
[00:00:05.840] 男：应该FE论文那种。
[00:00:08.320] 男：毕业论文。
[00:00:09.920] 女：他他们那里变得那么严了，我们那边非常的严。
[00:00:13.500] 男：他他现在怎么判断一个AI是呃一个论文是不是AI的，怎么判断他只是作为参考。
[00:00:20.068] 女：他不会作为一个一定的那个。
[00:00:22.760] 女：判定就落了。
[00:00:24.480] 男：因为我之前也在想，他他论文不就是严谨的用那专业的词句去论述吗？
[00:00:30.579] 男：那那AI很容易模仿这一类的文本，那人家手写的只不过因为习惯的原因看着像但。
[00:00:38.120] 男：这样给人家判判成AI重复率很高，给人挂了，那我觉得我觉得很不科学。
[00:00:44.180] 女：没有说会因为这个话，但是会。
[00:00:50.880] 女：就知网查询还是。
[00:00:56.020] 女：我去年我有一去年有一个。
[00:00:58.800] 女：就是因为他这个不是你说我都没发现它里面有流沙嗯，结果我已经过了一年多了，我就挂了，没发现。
[00:01:05.100] 女：啊，王。
[00:01:08.020] 男：被挂了是不是要严厉啊啊。
[00:01:11.180] 男：免费给皇上交几万牌。
[00:01:13.820] 女：啊，多少钱啊？
[00:01:15.834] 女：两千。
[00:01:16.780] 女：把。
[00:01:18.660] 女：心血系统问题，他交了2300，他交了。
[00:01:22.420] 女：我帮他交的我帮他我不是我帮他交的文件。
[00:01:29.160] 女：你你姐姐姐。
[00:01:31.280] 女：我认识吗？
[00:01:32.184] 女：社长，你不认识。
[00:01:34.420] 女：你们都没到。
[00:01:36.000] 女：你们都没有机会打交警啊，当时有来，你们有当时有过来吃饭，他好像没去谁啊？
[00:01:42.530] 女：前任副社长，对啊，小鱼上一届。
[00:01:46.680] 女：不行，我想上厕所了，厕所在哪？
[00:01:48.980] 男：那里啊。
[00:01:53.020] 女：不上上线吗？
[00:01:55.260] 女：你的上一句。
[00:01:57.160] 女：六年。
[00:01:58.040] 女：蒋跟蒋峰同志啊。
[00:02:02.920] 女：小红市长的副社长。
[00:02:05.420] 女：这方面是。
[00:02:12.020] 女：江蕾丝江蕾丝上再上一遍吧。
[00:02:16.100] 女：跟铃铛的一个。
[00:02:19.180] 女：漠河也是在上一届吧。
[00:02:21.286] 女：我。
[00:02:24.440] 女：一八的。
[00:02:29.260] 女：目到目前为止就是。
[00:02:32.460] 女：但他真的就是一天都不发表。
[00:02:35.720] 女：一天。
[00:02:36.760] 女：他很难投，他的这个尺度太大。
[00:02:41.860] 女：我一直觉得。
[00:02:43.360] 女：他应该是走一下。
[00:02:46.320] 女：你表示。
[00:02:50.140] 女：投稿。
[00:02:51.560] 女：我们看过了。
[00:02:58.700] 女：你之前没有投吗？
[00:03:01.080] 女：他有的，他后来不。
[00:03:02.920] 女：后来就就消失。
[00:03:04.800] 女：他去哪儿找不到他。
[00:03:10.020] 女：动态也没有发了。
[00:03:12.220] 女：我这魄力的。
[00:03:14.640] 女：有可能是脱离团队。
[00:03:20.380] 女：还有一个是那个。
[00:03:25.460] 女：喷玻璃。
[00:03:26.380] 女：他不是也是蛮瞩目的吗？
[00:03:29.300] 女：好像拿了几个饺子，就他。
[00:03:31.820] 女：不太。
[00:03:34.620] 女：我们去看一下照片上来。
[00:03:37.180] 女：都很有个性啊。
[00:03:43.100] 女：但是他也有发表，也会跟着。
[00:03:53.420] 男：有没有，我说我我是。
[00:03:55.660] 女：我说那个广场，你说。
[00:03:58.980] 女：一下。
[00:04:00.100] 女：唱歌儿。
[00:04:04.100] 男：我自己是一个很小市民的人，对我自己。
[00:04:10.220] 女：小市民可以写小市民。
[00:04:15.340] 女：不一定要都要像他们一样写那些。
[00:04:21.420] 女：残酷的，华丽的。
[00:04:25.340] 男：感觉小市民其实。
[00:04:27.320] 男：严格来说，不算小事。
[00:04:29.540] 男：因为我感觉自认为是小市民的人。
[00:04:32.302] 男：他。
[00:04:32.660] 女：嗯，大概。
[00:04:34.260] 女：他是有点命清高小市民是很男人。
[00:04:37.669] 女：小市民。
[00:04:41.700] 女：绝对是在。
[00:04:43.740] 女：了解你自己普通人。
[00:04:46.700] 女：我不会刻意的强调自。
[00:04:53.620] 女：已经受理。
[00:04:56.580] 男：106度，没少熬夜。
[00:05:00.740] 男：有点憔悴。
[00:05:03.880] 女：什么都没干。
[00:05:08.240] 女：我在这边是桀骜不驯的少。
[00:05:13.580] 男：你给我印象最深的时候还是大的。
[00:05:18.820] 女：蒂芙尼蓝那个是。
[00:05:23.860] 男：那时候人群中第一次来时，会看到你坐在那里跟。
[00:05:28.480] 男：峥嵘堕落不能坐一块，很有那种东门老虎。
[00:05:32.580] 女：你手上还有啥？
[00:05:44.140] 女：我没有那个。
[00:05:53.980] 女：没看到啊。
[00:05:55.960] 女：没去他们家。
[00:05:56.793] 女：有。
[00:05:57.620] 女：他很好看。
[00:05:59.140] 女：我跟他去。
[00:06:05.480] 女：你们不是说一周一天吗？
[00:06:07.833] 女：一个月。
[00:06:08.920] 女：每个活动说一周一天，然后谁加了你还是他好小。
[00:06:15.100] 女：一个月1天跟他定了，一个月1天互相发，结果第一个月我们互相给他。
[00:06:21.240] 女：然后我就我就跟他不说，他说你好歹还写了500，因为我写了500。
[00:06:27.060] 男：有好处，不侵犯条约。
[00:06:31.980] 女：你冷不冷？
[00:06:35.820] 女：也特别好吃。
[00:06:41.480] 女：那还好，春节的那应该有点那。
[00:06:51.360] 男：老公怎么看？
[00:06:55.720] 男：他上学去带我。
[00:07:01.380] 男：也很有个。
[00:07:04.260] 女：我对他。
[00:07:07.700] 男：他的他的。
[00:07:09.720] 男：就是它的外形气质跟上上起课来完全是两个。
[00:07:14.880] 女：我真的是。
[00:07:16.020] 女：和忠厚，但是他对文学的。
[00:07:20.460] 男：哦，对，它的开放性。
[00:07:24.820] 女：他更加。
[00:07:26.600] 女：他对我其实很有信仰。
[00:07:28.480] 男：他他上课给我们举的很多例子。
[00:07:36.280] 女：就算你的课，我的要求。
[00:07:43.900] 女：但他有百度。
[00:07:46.620] 男：我感觉。
[00:07:49.140] 女：你都打不。
[00:07:51.160] 男：发给我们看，然后带着我。
[00:07:53.640] 女：他自己的操作。
[00:07:55.396] 男：然后那我就。
[00:07:57.660] 女：他他他他上课。
[00:07:59.073] 男：的时候讲了两天自己的，然后。
[00:08:02.080] 男：呃，又举了3。
[00:08:05.420] 女：他应该会告诉你他是怎么处理。
[00:08:11.000] 女：选择这条路，不是那条。
[00:08:14.100] 女：只是这样写。
[00:08:16.500] 男：这个没有。
[00:08:18.820] 女：那些东西。
[00:08:23.740] 男：我感觉这个是很。
[00:08:29.220] 女：因为他的课我。
[00:08:30.352] 男：我感觉真的到了学到了东西，但是你让我具体说学到了什？
[00:08:37.220] 女：那你没问题。
[00:08:41.640] 男：他没给我们。
[00:08:43.320] 男：不过他经常把我写的都。
[00:08:45.920] 女：不太多。
[00:08:47.160] 男：读过几次。
[00:08:48.600] 男：期末他给我打。
[00:08:51.620] 男：你你打的。
[00:08:53.460] 女：我们班这个。
[00:08:55.060] 女：因为我第一个。
[00:08:57.260] 女：我第一天，我我我周一周二就已经打完卷子啊，没有，现在告诉我们要打完这个。
[00:09:05.640] 女：全部都过去。
[00:09:08.060] 女：跟他们的班。
[00:09:11.420] 女：就最高的。
[00:09:13.140] 女：就是那就说明在他的班里已经算很高了，他很苛刻。
[00:09:16.554] 女：我当时一起改正的时候。
[00:09:19.100] 女：别动。
[00:09:20.120] 女：干什么呀？
[00:09:21.260] 女：然后我说，哎，这个我认识。
[00:09:28.140] 女：我在门口我在门口等。
[00:09:30.440] 女：他把桌子搬到，因为这里面也是聊天。
[00:09:33.100] 女：很多事都在门口。
[00:09:38.200] 女：王强写的怎么样的？
[00:09:39.680] 女：我说还好吧。
[00:09:41.500] 女：他当时很认真啊，给对这个。
[00:09:43.720] 男：还好吧，那我感觉这个。
[00:09:46.860] 女：这已经有了。
[00:09:49.380] 男：其实我有点忘了。
[00:09:51.120] 女：搬的船。
[00:09:53.060] 男：呃。
[00:09:56.180] 男：呃，哑巴。
[00:09:57.840] 男：哑巴的那个。
[00:09:59.360] 男：嗯，哑巴血。
[00:10:04.460] 男：写了一个很很很好很很模式化的。
[00:10:09.500] 男：点到的。
[00:10:13.120] 男：然后发生争吵，然后最后。
[00:10:17.700] 女：在地点上。
[00:10:19.080] 女：他不管。
